"ID","French","English","Italian","German","Russian","Spanish","LatAm","Czech","Hungarian","Polish","IdPlayerNameTypes","Part"
"1287"," Chevelu"," Hairy"," Pelofitto"," Haarig"," Волосатый"," Peludo"," Peludo"," Hairy","Szőrös"," Włochaty","4","2"
"1288"," Laid"," Huge"," Gigante"," Riesig"," Гигант"," Enorme"," Enorme"," Huge","Böszme"," Potężny","4","2"
"1289"," Immense"," Immense"," Immenso"," Immens"," Огромный"," Inmenso"," Inmenso"," Immense","Roppant"," Ogromny","4","2"
"1290"," Impatient"," Impatient"," Impaziente"," Ungeduldig"," Непоседа"," Impaciente"," Impaciente"," Netrpělivý","Türelmetlen"," Niecierpliwy","4","2"
"1291"," Irrascible"," Irascible"," Irascibile"," Zornig"," Вспыльчивый"," Irascible"," Irascible"," Irascible","Robbanékony"," Krewki","4","2"
"1292"," Chanceux"," Lucky"," Fortunato"," Glücklich"," Счастливчик"," Afortunado"," Afortunado"," Lucky","Szerencsés"," Szczęśliwy","4","2"
"1293"," Perdu"," Lost"," Perduto"," Verloren"," Потерянный"," Perdido"," Perdido"," Lost","Elveszett"," Zagubiony","4","2"
"1294"," Fou"," Mad"," Pazzo"," Wahnsinnig"," Полоумный"," Loco"," Loco"," Mad","Őrült"," Szalony","4","2"
"1295"," Reaver"," Reaver"," Saccheggiatore"," Plünderer"," Свирепый"," Saqueador"," Saqueador"," Reaver","Tépő"," Rozbójnik","4","2"
"1296"," Taciturne"," Silent"," Taciturno"," Still"," Молчун"," Silencioso"," Silencioso"," Silent","Csöndes"," Cichy","4","2"
"1297"," Chic"," Smart"," Furbo"," Klug"," Умник"," Listo"," Listo"," Smart","Okos"," Bystry","4","2"
"1298"," Pulpeur"," Pulper"," Spolpatore"," Zersäger"," Рвач"," Machacador"," Machacador"," Pulper","Pépesítő"," Ciapowaty","4","2"
"1299"," Etrange"," Odd"," Strambo"," Seltsam"," Странный"," Raro"," Raro"," Odd","Furcsa"," Dziwny","4","2"
"1300"," Puissant"," Mighty"," Possente"," Stark"," Могучий"," Poderoso"," Poderoso"," Mighty","Hatalmas"," Potężny","4","2"
"1301"," Imposant"," Mangler"," Storpiatore"," Quetscher"," Палач"," Demoledor"," Demoledor"," Mangler","Csonkító"," Rozrywacz","4","2"
"1302","Goqtoc","Goqtoc","Goqtoc","Goqtoc","Гокток","Goqtoc","Goqtoc","Goqtoc","Goqtoc","Goqtoc","11","1"
"1303"," de Chaqua"," of Chaqua"," di Chaqua"," von Tschaqua"," Чаквы"," de Chaqua"," de Chaqua"," of Chaqua"," of Chaqua"," z Chaqua","11","2"
"1304","Oatlgor","Oatlgor","Oatlgor","Oatlgor","Оатлгор","Oatlgor","Oatlgor","Oatlgor","Oatlgor","Oatlgor","11","1"
"1305"," du soleil"," of the Sun"," del sole"," von der Sonne"," Солнца"," del Sol"," del Sol"," of the Sun"," of the Sun"," Słonneczny","11","2"
"1306","Quetcuaq","Quetcuaq","Quetcuaq","Quetcuaq","Кветквак","Quetcuaq","Quetcuaq","Quetcuaq","Quetcuaq","Quetcuaq","11","1"
"1307"," de la Pyramide"," of the Pyramid"," della piramide"," von der Pyramide"," Пирамиды"," de la Pirámide"," de la Pirámide"," z Pyramid"," of the Pyramid"," z Piramidy","11","2"
"1308","Adohimundi","Adohimundi","Adohimundi","Adohimundi","Адохимунди","Adohimundi","Adohimundi","Adohimundi","Adohimundi","Adohimundi","11","1"
"1309"," de Pahualaxa"," of Pahualaxa"," di Pahualaxa"," von Pahualaxa"," Пахуалаксы"," de Pahualaxa"," de Pahualaxa"," of Pahualaxa"," of Pahualaxa"," Z Pahualaxa","11","2"
"1310","Xholtenq","Xholtenq","Xholtenq","Xholtenq","Ксолтенг","Xholtenq","Xholtenq","Xholtenq","Xholtenq","Xholtenq","11","1"
"1311"," de la Viper"," of the Viper"," della vipera"," der Viper"," Гадюки"," de la Víbora"," de la Víbora"," of the Viper"," of the Viper"," Żmijowy","11","2"
"1312","Conquaconqua","Conquaconqua","Conquaconqua","Conquaconqua","Конкваконква","Conquaconqua","Conquaconqua","Conquaconqua","Conquaconqua","Conquaconqua","11","1"
"1313"," de l'Aube"," of Dawn"," dell'alba"," der Dämmerung"," Рассвета"," del Amanecer"," del Amanecer"," of Dawn"," of Dawn"," Zaranny","11","2"
"1314","Kaili","Kaili","Kaili","Kaili","Кайли","Kaili","Kaili","Kaili","Kaili","Kaili","11","1"
"1315"," de l'Or"," of Gold"," d'oro"," des Goldes"," Золотой"," del Oro"," del Oro"," of Gold"," of Gold"," Złoty","11","2"
"1316","Cuaqtza","Cuaqtza","Cuaqtza","Cuaqtza","Квакца","Cuaqtza","Cuaqtza","Cuaqtza","Cuaqtza","Cuaqtza","11","1"
"1317"," de Xlanhuapec"," of Xlanhuapec"," di Xlanhuapec"," von Xlanhuapec"," Ксланхуапека"," de Xlanhuapec"," de Xlanhuapec"," of Xlanhuapec"," of Xlanhuapec"," z Xlanhuapec","11","2"
"1318","Adohigar","Adohigar","Adohigar","Adohigar","Адохигар","Adohigar","Adohigar","Adohigar","Adohigar","Adohigar","11","1"
"1319"," de la Rivière"," of the River"," del fiume"," vom Fluss"," Реки"," del Río"," del Río"," of the River"," of the River"," Rzeczny","11","2"
"1320","Adohichicc","Adohichicc","Adohichicc","Adohichicc","Адохичик","Adohichicc","Adohichicc","Adohichicc","Adohichicc","Adohichicc","11","1"
"1321"," du Désespoir"," of Despair"," della disperazione"," der Verzweiflung"," Отчаяния"," de la Desesperación"," de la Desesperación"," of Despair"," of Despair"," Zdesperowany","11","2"
"1322","Boqkrox","Boqkrox","Boqkrox","Boqkrox","Бокрокс","Boqkrox","Boqkrox","Boqkrox","Boqkrox","Boqkrox","11","1"
"1323"," des Marais"," of Swamps"," delle paludi"," der Sümpfe"," Болотный"," de los Pantanos"," de los Pantanos"," z Bažin"," of Swamps"," Bagienny","11","2"
"1324","Tlaxitza","Tlaxitza","Tlaxitza","Tlaxitza","Тлакситза","Tlaxitza","Tlaxitza","Tlaxitza","Tlaxitza","Tlaxitza","11","1"
"1325"," de Tlaxtlan"," of Tlaxtlan"," di Tlaxtlan"," von Tlaxtlan"," Тлакстлана"," de Tlaxtlan"," de Tlaxtlan"," of Tlaxtlan"," of Tlaxtlan"," z Tlaxtlan","11","2"
"1326","Oatluax","Oatluax","Oatluax","Oatluax","Оатлуакс","Oatluax","Oatluax","Oatluax","Oatluax","Oatluax","11","1"
"1327"," de la Lune"," of the Moon"," della luna"," des Mondes"," Луны"," de la Luna"," de la Luna"," z Měsíce"," of the Moon"," Księżycowy","11","2"
"1328","Garconqua","Garconqua","Garconqua","Garconqua","Гарконква","Garconqua","Garconqua","Garconqua","Garconqua","Garconqua","11","1"
"1329"," de Pahualaxa"," of Pahualaxa"," di Pahualaxa"," von Pahualaxa"," Пахуалаксы"," de Pahualaxa"," de Pahualaxa"," of Pahualaxa"," of Pahualaxa"," Z Pahualaxa","11","2"
"1330","Tza-oatl","Tza-oatl","Tza-oatl","Tza-oatl","Тса-оатл","Tza-oatl","Tza-oatl","Tza-oatl","Tza-oatl","Tza-oatl","11","1"
"1331"," de Zlatlan"," of Zlatlan"," di Zlatlan"," von Zlatlan"," Златлана"," de Zlatlan"," de Zlatlan"," of Zlatlan"," of Zlatlan"," z Zlatlan","11","2"
"1332","Tehekai","Tehekai","Tehekai","Tehekai","Тегекай","Tehekai","Tehekai","Tehekai","Tehekai","Tehekai","11","1"
"1333"," de Axlotl"," of Axlotl"," di Axlotl"," von Axlotl"," Акслотла"," de Axlotl"," de Axlotl"," of Axlotl"," of Axlotl"," z Axlotl","11","2"
"1334","Mazda","Mazda","Mazda","Mazda","Мазда","Mazda","Mazda","Mazda","Mazda","Mazda","11","1"
"1335"," de Ziggurat"," of Ziggurat"," dello Ziggurat"," von Ziggurat"," Зиггурата"," de Ziggurat"," de Ziggurat"," of Ziggurat"," of Ziggurat"," z Zigguratu","11","2"
"1336","Tehechi","Tehechi","Tehechi","Tehechi","Тегечи","Tehechi","Tehechi","Tehechi","Tehechi","Tehechi","11","1"
"1337"," de Itza"," of Itza"," di Itza"," von Itza"," Итзы"," de Itza"," de Itza"," of Itza"," of Itza"," z Itza","11","2"
"1338","Tenquax","Tenquax","Tenquax","Tenquax","Тенгуакс","Tenquax","Tenquax","Tenquax","Tenquax","Tenquax","11","1"
"1339"," du Lac"," of the Lake"," del lago"," des Sees"," Озера"," del Lago"," del Lago"," z Jezera"," of the Lake"," Jeziorny","11","2"
"1340","Mazdamun","Mazdamun","Mazdamun","Mazdamun","Маздамун","Mazdamun","Mazdamun","Mazdamun","Mazdamun","Mazdamun","11","1"
"1341"," de Huatl"," of Huatl"," di Huatl"," von Huatl"," Гуатла"," de Huatl"," de Huatl"," of Huatl"," of Huatl"," z Huatl","11","2"
"1342","An","An","An","An","Ан","An","An","An","An","An","13","1"
"1343","rim","rim","rim","rim","рим","rim","rim","rim","rim","rim","13","2"
"1344","Din","Din","Din","Din","Дин","Din","Din","Din","Din","Din","13","1"
"1345","ten","ten","ten","ten","тен","ten","ten","ten","ten","ten","13","2"
"1346","Th","Th","Th","Th","Т","Th","Th","Th","Th","Th","13","1"
"1347","rid","rid","rid","rid","рид","rid","rid","rid","rid","rid","13","2"
"1348","Fal","Fal","Fal","Fal","Фал","Fal","Fal","Fal","Fal","Fal","13","1"
"1349","ili","ili","ili","ili","или","ili","ili","ili","ili","ili","13","2"
"1350","A","A","A","A","А","A","A","A","A","A","13","1"
"1351","grim","grim","grim","zorn","грим","grim","grim","grim","grim","grim","13","2"
"1352","D","D","D","D","Д","D","D","D","D","D","13","1"
"1353","rim","rim","rim","rim","рим","rim","rim","rim","rim","rim","13","2"
"1354","Jar","Jar","Jar","Jar","Джар","Jar","Jar","Jar","Jar","Jar","13","1"
"1355","ak","ak","ak","ak","ак","ak","ak","ak","ak","ak","13","2"
"1356","Bof","Bof","Bof","Bof","Боф","Bof","Bof","Bof","Bof","Bof","13","1"
"1357","ring","ring","ring","ring","ринг","ring","ring","ring","ring","ring","13","2"
"1358","Er","Er","Er","Er","Ер","Er","Er","Er","Er","Er","13","1"
"1359","gan","gan","gan","gan","ган","gan","gan","gan","gan","gan","13","2"
"1360","mek","mek","mek","mek","мек","mek","mek","mek","mek","mek","13","2"
"1361","Duer","Duer","Duer","Duer","Дуер","Duer","Duer","Duer","Duer","Duer","13","1"
"1362","dal","dal","dal","dal","дал","dal","dal","dal","dal","dal","13","2"
"1363","Ur","Ur","Ur","Ur","Ур","Ur","Ur","Ur","Ur","Ur","13","1"
"1364","Lok","Lok","Lok","Lok","Лок","Lok","Lok","Lok","Lok","Lok","13","1"
"1365","ain","ain","ain","ain","ейн","ain","ain","ain","ain","ain","13","2"
"1366","Val","Val","Val","Val","Вал","Val","Val","Val","Val","Val","13","1"
"1367","ir","ir","ir","ir","ир","ir","ir","ir","ir","ir","13","2"
"1368","i","i","i","i","и","i","i","i","i","i","13","2"
"1369","Nal","Nal","Nal","Nal","Нал","Nal","Nal","Nal","Nal","Nal","13","1"
"1370","Nor","Nor","Nor","Nor","Нор","Nor","Nor","Nor","Nor","Nor","13","1"
"1371","or","or","or","or","ор","or","or","or","or","or","13","2"
"1372","Er","Er","Er","Er","Эр","Er","Er","Er","Er","Er","13","1"
"1373","oril","oril","oril","oril","орил","oril","oril","oril","oril","oril","13","2"
"1374","Drong","Drong","Drong","Drong","Дронг","Drong","Drong","Drong","Drong","Drong","13","1"
"1375","thal","thal","thal","thal","тал","thal","thal","thal","thal","thal","13","2"
"1376","Glan","Glan","Glan","Glan","Глан","Glan","Glan","Glan","Glan","Glan","13","1"
"1377","ral","ral","ral","ral","рал","ral","ral","ral","ral","ral","13","2"
"1378","Bof","Bof","Bof","Bof","Боф","Bof","Bof","Bof","Bof","Bof","13","1"
"1379","lond","lond","lond","lond","лонд","lond","lond","lond","lond","lond","13","2"
"1380","ent","ent","ent","ent","ент","ent","ent","ent","ent","ent","13","2"
"1381","O","O","O","O","О","O","O","O","O","O","13","1"
"1382","Ma","Ma","Ma","Ma","Ма","Ma","Ma","Ma","Ma","Ma","13","1"
"1383","aln","aln","aln","aln","алн","aln","aln","aln","aln","aln","13","2"
"1384","kas","kas","kas","kas","кас","kas","kas","kas","kas","kas","13","2"
"1385","Big","Big","Big","Big","Жлоб","Big","Big","Big","Big","Big","17","1"
"1386","Bo","Bo","Bo","Bo","Бо","Bo","Bo","Bo","Bo","Bo","17","1"
"1387","Dof","Dof","Dof","Dof","Доф","Dof","Dof","Dof","Dof","Dof","17","1"
"1388","Gim","Gim","Gim","Gim","Гим","Gim","Gim","Gim","Gim","Gim","17","1"
"1389","Gof","Gof","Gof","Gof","Гоф","Gof","Gof","Gof","Gof","Gof","17","1"
"1390","It","It","It","It","Ит","It","It","It","It","It","17","1"
"1391","Kim","Kim","Kim","Kim","Ким","Kim","Kim","Kim","Kim","Kim","17","1"
"1392","Git","Git","Git","Git","Мраз","Git","Git","Git","Git","Git","17","1"
"1393","Leb","Leb","Leb","Leb","Леб","Leb","Leb","Leb","Leb","Leb","17","1"
"1394","Lib","Lib","Lib","Lib","Либ","Lib","Lib","Lib","Lib","Lib","17","1"
"1395","Luk","Luk","Luk","Luk","Лук","Luk","Luk","Luk","Luk","Luk","17","1"
"1396","Mor","Mor","Mor","Mor","Мор","Mor","Mor","Mor","Mor","Mor","17","1"
"1397","Nif","Nif","Nif","Nif","Ниф","Nif","Nif","Nif","Nif","Nif","17","1"
"1398","Nog","Nog","Nog","Nog","Клин","Nog","Nog","Nog","Nog","Nog","17","1"
"1399","Nuf","Nuf","Nuf","Nuf","Нуф","Nuf","Nuf","Nuf","Nuf","Nuf","17","1"
"1400","Rat","Rat","Rat","Rat","Крыс","Rat","Rat","Rat","Rat","Rat","17","1"
"1401","Rub","Rub","Rub","Rub","Руб","Rub","Rub","Rub","Rub","Rub","17","1"
"1402","Shek","Shek","Shek","Shek","Шек","Shek","Shek","Shek","Shek","Shek","17","1"
"1403","Shim","Shim","Shim","Shim","Шим","Shim","Shim","Shim","Shim","Shim","17","1"
"1404","Skar","Skar","Skar","Skar","Шрам","Skar","Skar","Skar","Skar","Skar","17","1"
"1405","Tid","Tid","Tid","Tid","Тид","Tid","Tid","Tid","Tid","Tid","17","1"
"1406","Tip","Tip","Tip","Tip","Тип","Tip","Tip","Tip","Tip","Tip","17","1"
"1407","Tob","Tob","Tob","Tob","Тоб","Tob","Tob","Tob","Tob","Tob","17","1"
"1408","Top","Top","Top","Top","Топ","Top","Top","Top","Top","Top","17","1"
"1409","Zib","Zib","Zib","Zib","Зиб","Zib","Zib","Zib","Zib","Zib","17","1"
"1410","Zig","Zig","Zig","Zig","Зиг","Zig","Zig","Zig","Zig","Zig","17","1"
"1411","beb","beb","beb","beb","беб","beb","beb","beb","beb","beb","17","2"
"1412","bit","bit","bit","bit","бит","bit","bit","bit","bit","bit","17","2"
"1413","ess","ess","ess","ess","есс","ess","ess","ess","ess","ess","17","2"
"1414","fen","fen","fen","fen","фен","fen","fen","fen","fen","fen","17","2"
"1415","gag","gag","gag","gag","гаг","gag","gag","gag","gag","gag","17","2"
"1416","gin","gin","gin","gin","гин","gin","gin","gin","gin","gin","17","2"
"1417","git","git","git","git","гит","git","git","git","git","git","17","2"
"1418","glum","glum","glum","glum","глум","glum","glum","glum","glum","glum","17","2"
"1419","ig","ig","ig","ig","иг","ig","ig","ig","ig","ig","17","2"
"1420","ig","ig","ig","ig","иг","ig","ig","ig","ig","ig","17","2"
"1421","iz","iz","iz","iz","из","iz","iz","iz","iz","iz","17","2"
"1422","let","let","let","let","лет","let","let","let","let","let","17","2"
"1423","lid","lid","lid","lid","лид","lid","lid","lid","lid","lid","17","2"
"1424","lik","lik","lik","lik","лик","lik","lik","lik","lik","lik","17","2"
"1425","lob","lob","lob","lob","лоб","lob","lob","lob","lob","lob","17","2"
"1426","mink","mink","mink","mink","минк","mink","mink","mink","mink","mink","17","2"
"1427","rak","rak","rak","rak","рак","rak","rak","rak","rak","rak","17","2"
"1428","ruk","ruk","ruk","ruk","рук","ruk","ruk","ruk","ruk","ruk","17","2"
"1429","sham","sham","sham","sham","шам","sham","sham","sham","sham","sham","17","2"
"1430","snik","snik","snik","snik","сник","snik","snik","snik","snik","snik","17","2"
"1431","sub","sub","sub","sub","суб","sub","sub","sub","sub","sub","17","2"
"1432","sus","sus","sus","sus","сус","sus","sus","sus","sus","sus","17","2"
"1433","wig","wig","wig","wig","виг","wig","wig","wig","wig","wig","17","2"
"1434","zag","zag","zag","zag","заг","zag","zag","zag","zag","zag","17","2"
"1435","zig","zig","zig","zig","зиг","zig","zig","zig","zig","zig","17","2"
"1436","Wir","Wir","Cod","Sehn","Тощ","Cola","Cola","Wir","Wir","Wir","5","1"
"1437","e Queue","ey Tail","a spinosa","iger Schweif","ий Хвост","Fibrosa","Fibrosa","ey Tail","ey Tail","eyg Ogon","5","2"
"1438","Shi","Shi","Bar","Glänz","Маслян","Barba","Barba","Shi","Shi","Shi","5","1"
"1439","i Poilu","ny Beard","ba splendente","ender Bart","ая Борода","Brillante","Brillante","ny Beard","ny Beard","ny Broda","5","2"
"1440","Spi","Spi","Nas","Dorn","Немыт","Morro","Morro","Spi","Spi","Spi","5","1"
"1441","ne Museau","ner Snout","o nero","ige Schnauze","ое Рыло","Espinado","Espinado","ner Snout","ner Snout","ner Pysk","5","2"
"1442","Scruf","Scruf","Artigl","Dreck","Грязн","Garra","Garra","Scruf","Scruf","Scruf","5","1"
"1443","fi Griffe","fy Claw","i potenti","ige Klaue","ый Коготь","Peluda","Peluda","fy Claw","fy Claw","fy Szpon","5","2"
"1444","Yel","Yel","Cod","Gel","Жел","Cola","Cola","Yel","Yel","Yel","5","1"
"1445","basse Queue","low Tail","a gialla","ber Schweif","тый Хвост","Amarilla","Amarilla","low Tail","low Tail","low Ogon","5","2"
"1446","Thor","Thor","Pel","Strähn","Колю","Pelo","Pelo","Thor","Thor","Thor","5","1"
"1447","ni Chevelu","ny Hair","o irto","iges Haar","чая Шерсть","Espinoso","Espinoso","ny Hair","ny Hair","ny Włos","5","2"
"1448","Prick","Prick","Mus","Stachel","Остр","Hocico","Hocico","Prick","Prick","Prick","5","1"
"1449","li Groin","ly Muzzle","o brutto","iges Maul","ая Морда","Punzante","Punzante","ly Muzzle","ly Muzzle","ly Kaganiec","5","2"
"1450","Friz","Friz","Pel","Kraus","Курча","Pellejo","Pellejo","Friz","Friz","Friz","5","1"
"1451","si Masquer","zy Hide","le rugosa","es Fell","вая Шкура","Crespo","Crespo","zy Hide","zy Hide","zy Kożuch","5","2"
"1452","Tend","Tend","Pel","Zart","Неж","Piel","Piel","Tend","Tend","Tend","5","1"
"1453","er Poilu","er Fur","o soffice","er Pelz","ный Мех","Tierna","Tierna","er Fur","er Fur","er Futro","5","2"
"1454","Point","Point","Crini","Spitz","Остр","Melena","Melena","Point","Point","Point","5","1"
"1455","i Mon","y Mane","era puntuta","e Mähne","ая Грива","Puntiaguda","Puntiaguda","y Mane","y Mane","y Grzywa","5","2"
"1456","Gnar","Gnar","Probosc","Knorr","Крив","Colmillo","Colmillo","Gnar","Gnar","Gnar","5","1"
"1457","li Gratte","ly Tusk","ide lunga","iger Hauer","ой Бивень","Retorcido","Retorcido","ly Tusk","ly Tusk","ly Kieł","5","2"
"1458","Lon","Lon","Zamp","Lang","Длин","Zarpa","Zarpa","Lon","Lon","Lon","5","1"
"1459","g Par","g Paw","a lunga","e Tatze","ная Лапа","Larga","Larga","g Paw","g Paw","g Łapa","5","2"
"1460","Slouk","Slouk","Mant","Pilz","Висл","Manto","Manto","Slouk","Slouk","Slouk","5","1"
"1461","li Cape","ly Mantle","o lustro","iger Mantel","ый Плащ","Poblado","Poblado","ly Mantle","ly Mantle","ly Płaszcz","5","2"
"1462","Wir","Wir","Pell","Stachel","Жест","Pellejo","Pellejo","Wir","Wir","Wir","5","1"
"1463","ie Peau","ey Pelt","e setosa","iges Fell","кая Шкура","Fibroso","Fibroso","ey Pelt","ey Pelt","ey Skóra","5","2"
"1464","Shag","Shag","Corn","Hart","Облез","Asta","Asta","Shag","Shag","Shag","5","1"
"1465","gie Cornu","gy Antler","a ramose","es Geweih","лые Рога","Lanuda","Lanuda","gy Antler","gy Antler","gy Rogacz","5","2"
"1466","Craseur","Scartch","Scartch","Kratz","Скартч","Scartch","Scartch","Scartch","Scartch","Scartch","6","1"
"1467"," Crasecafard"," Crushspider"," Schiacciaragni"," Brechspinne"," давипаука"," Aplastaarañas"," Aplastaarañas"," Crushspider"," Crushspider"," Miażdżypająk","6","2"
"1468","Peste","Plague","Peste","Pest","Чума","Plaga","Plaga","Plague","Plague","Plaga","6","1"
"1469"," Tiremort"," Liverrip"," Strappafegati"," Leberriss"," отдайжизнь"," Arrancahígados"," Arrancahígados"," Liverrip"," Liverrip"," Wątroborwij","6","2"
"1470","Frappétoile","Stareclap","Immobile","Starrklapp","Зривкорень","Ojotrueno","Ojotrueno","Stareclap","Stareclap","Gapimiot","6","1"
"1471"," Tasdeboue"," Fangepile"," Impalatore"," Fangpfahl"," рядклыков"," Pilacolmillo"," Pilacolmillo"," Fangepile"," Fangepile"," Kłorwij","6","2"
"1472","Yeuxdouble","Eyesweat","Occhiolesto","Augenschweiß","Мокроглаз","Ojosudor","Ojosudor","Eyesweat","Eyesweat","Oczopot","6","1"
"1473"," Mortsaine"," Ripsore"," Seminamorte"," Risssauer"," рвирану"," Rasgaherida"," Rasgaherida"," Ripsore"," Ripsore"," Wrzodorwij","6","2"
"1474","Ver","Worm","Verme","Wurm","Червь","Gusano","Gusano","Worm","Worm","Robal","6","1"
"1475"," Groscoup"," Grosspinch"," Pungitore"," Ekelnot"," ударчтонадо"," Ascopellizco"," Ascopellizco"," Grosspinch"," Grosspinch"," Gburoszczyp","6","2"
"1476","Visecrâne","Spotskull","Teschioduro","Spotschädel","Снимискальп","Manchacráneo","Manchacráneo","Spotskull","Spotskull","Czachokrost","6","1"
"1477"," Brisefroid"," Coldrotten"," Putrescente"," Kaltfäule"," хладогниль"," Fríopodrido"," Fríopodrido"," Coldrotten"," Coldrotten"," Zimnognij","6","2"
"1478","Griffeviande","Clawichor","Artigliatore","Klauenig","Вырвикоготь","Garrapus","Garrapus","Clawichor","Clawichor","Posok","6","1"
"1479"," Pilepoils"," Starebaag"," Osservamorte"," Starrbaag"," глядивоба"," Ojobolsa"," Ojobolsa"," Starebaag"," Starebaag"," Gapiwór","6","2"
"1480","Trembleur","Quakeflush","Terremoto","Schüttelrost","Дрожьберет","Tiemblarrubor","Tiemblarrubor","Quakeflush","Quakeflush","Wstrząsopływ","6","1"
"1481"," Percefoie"," Gibbervex"," Distruttore"," Gibbervex"," пустомол"," Farfullero"," Farfullero"," Gibbervex"," Gibbervex"," Mamrot","6","2"
"1482","Broiecrâne","Skullmoulger","Sbriciolateste","Schädelschmelzer","Проломьчереп","Cráneomoho","Cráneomoho","Skullmoulger","Skullmoulger","Czaszkogniot","6","1"
"1483"," Tirentraille"," Redgut"," Fegatorosso"," Rotdarm"," воткишки"," Triparroja"," Triparroja"," Redgut"," Redgut"," Krwawyflak","6","2"
"1484","Soufflegivre","Proxiwinter","Invernaccio","Proxiwinter","Скорозим","Cercainvierno","Cercainvierno","Proxiwinter","Proxiwinter","Zimownik","6","1"
"1485"," Mèlboyaux"," Danglemark"," Segnoscuro"," Dingelmark"," воткишки"," Cuelgamarca"," Cuelgamarca"," Danglemark"," Danglemark"," Zwisoślad","6","2"
"1486","Tranchebile","Slashliver","Affettatore","Schlitzleber","Кромсайпечень","Rajahígado","Rajahígado","Slashliver","Slashliver","Wątrobotnij","6","1"
"1487"," Rouilletout"," Rustlust"," Sanguinario"," Rostlieb"," ржавхоть"," Herrumbroso"," Herrumbroso"," Rustlust"," Rustlust"," Rdzożądny","6","2"
"1488","Pognegras","Graspfaat","Ungulato","Graspfoot","Хватбрать","Agarragrasa","Agarragrasa","Graspfaat","Graspfaat","Tłustochwyt","6","1"
"1489"," Morvonez"," Vilemucus"," Vilemuco"," Vilemucus"," гадкослизь"," Mocovil"," Mocovil"," Vilemucus"," Vilemucus"," Złyśluz","6","2"
"1490","Mortadell","Reapwarp","Squartaben","Rauschente","Режкоробь","Siegarrompe","Siegarrompe","Reapwarp","Reapwarp","Spaczorwij","6","1"
"1491"," Tirecolonne"," Spinelip"," Spezzaossa"," Gratlippe"," спиногрыз"," Labioespina"," Labioespina"," Spinelip"," Spinelip"," Kręgogryz","6","2"
"1492","Brutnoob","Brutesinew","Brutale","Starksehne","Грубожил","Brutendón","Brutendón","Brutesinew","Brutesinew","Brutal","6","1"
"1493"," Meurtenpaix"," Ripblue"," Livido"," Ritzblau"," рвисинь"," Rompeazul"," Rompeazul"," Ripblue"," Ripblue"," Oksyrwij","6","2"
"1494","Slu","Slu","Slu","Slu","Слу","Slu","Slu","Slu","Slu","Slu","19","1"
"1495","re le Tueur","re the Lethal","re il letale","re der Tödliche","р Смертоносный","re el Letal","re el Letal","re the Lethal","re the Lethal","re Śmiercionośny","19","2"
"1496","Kner","Kner","Kner","Kner","Кнер","Kner","Kner","Kner","Kner","Kner","19","1"
"1497","der le Pointu","er of Itchy","er di Solletico","er von Kratzich","ер Чесотки","er el Agudo","er el Agudo","er of Crookback","er of Crookback","er Kanciarz","19","2"
"1498","Knet","Knet","Knet","Knet","Кнет","Knet","Knet","Knet","Knet","Knet","19","1"
"1499","de le Mordheim","to of Mordheim","to di Mordheim","to von Mordheim","то Мордхеймский","to de Mordheim","to de Mordheim","to of Mordheim","to of Mordheim","to z Mordheim","19","2"
"1500","Tri","Tri","Tri","Tri","Три","Tri","Tri","Tri","Tri","Tri","19","1"
"1501","fli Furtif","fle Sneek","fle Sneek","fle Kriecher","фл Воришка","fle Sigiloso","fle Sigiloso","fle Sneek","fle Sneek","fle Donosiciel","19","2"
"1502","Obsci","Obsci","Obsci","Obsci","Обсци","Obsci","Obsci","Obsci","Obsci","Obsci","19","1"
"1503","le Voleur","ce Creep","ce Brivido","ce Abschaum","се Шпик","ce Trepador","ce Trepador","ce Creep","ce Creep","ce Odmieniec","19","2"
"1504","Snab","Snab","Snab","Snab","Снаб","Snab","Snab","Snab","Snab","Snab","19","1"
"1505","la Trappe","le Scuttle","le Scuttle","le Scuttle","л Бегун","le Escabullido","le Escabullido","le Scuttle","le Scuttle","le Topielec","19","2"
"1506","Stri","Stri","Stri","Stri","Стри","Stri","Stri","Stri","Stri","Stri","19","1"
"1507","dle Epée","dle Blade","dle Lama","dle Klinge","дл Клинок","dle Hoja","dle Hoja","dle Blade","dle Blade","dle Ostrze","19","2"
"1508","Kni","Kni","Kni","Kni","Кни","Kni","Kni","Kni","Kni","Kni","19","1"
"1509","ad Venimeux","ad Venom","ad Veleno","ad Gift","ад Яд","ad Veneno","ad Veneno","ad Venom","ad Venom","ad Jad","19","2"
"1510","Corps","Corp","Corp","Corp","Корп","Corp","Corp","Corp","Corp","Corp","19","1"
"1511","voir Rogneuse","able Nibbler","able Chirurgo","able Nager","абл Зубастик","able Guillotinador","able Guillotinador","schopný chirurg","able Surgeon","able Konował","19","2"
"1512","Modif","Modif","Modif","Modif","Модиф","Modif","Modif","Modif","Modif","Modif","19","1"
"1513","supra Découpeur","form Cutter","form Tagliatutto","form Schneider","форм Резчик","form Cortante","form Cortante","form Cutter","form Cutter","form Podcinacz","19","2"
"1514","Scalp","Scalp","Scalp","Scalp","Череп","Scalp","Scalp","Scalp","Scalp","Scalp","19","1"
"1515","sorti d'Enfer","amute of Hell","amute infernale","amute der Hölle","амут Адский","amute del Infierno","amute del Infierno","amute of Hell","amute of Hell","amute z Piekła","19","2"
