"ID","English","French","Italian","German","Russian","Spanish","Czech","Hungarian","Polish"
"554","Svenlik","Svenlik","Svenlik","Svenlik","Свенлик","Svenlik","Svenlik","Svenlik","Svenlik"
"555","Goili Drek-Troll","Goili Drek-Troll","Goili Drek-Troll","Goili Drek-Troll","Гуали Дрек-Тролль","Goili Drek-Troll","Goili Drek-Troll","Goili Drek-Troll","Goili Drek-Troll"
"556","Damgni Drengi-Troll","Damgni Drengi-Troll","Damgni Drengi-Troll","Damgni Drengi-Troll","Дамни Дренги-Тролль","Damgni Drengi-Troll","Damgni Drengi-Troll","Damgni Drengi-Troll","Damgni Drengi-Troll"
"557","Snorarag","Snorarag","Snorarag","Snorarag","Снорараг","Snorarag","Snorarag","Snorarag","Snorarag"
"558","Burlid","Burlid","Burlid","Burlid","Бурлид","Burlid","Burlid","Burlid","Burlid"
"559","Gorlin","Gorlin","Gorlin","Gorlin","Горлин","Gorlin","Gorlin","Gorlin","Gorlin"
"560","Zamatrok","Zamatrok","Zamatrok","Zamatrok","Заматрок","Zamatrok","Zamatrok","Zamatrok","Zamatrok"
"561","Zargrim","Zargrim","Zargrim","Zargrim","Заргрим","Zargrim","Zargrim","Zargrim","Zargrim"
"562","Kuur","Kuur","Kuur","Kuur","Куур","Kuur","Kuur","Kuur","Kuur"
"563","Ullak","Ullak","Ullak","Ullak","Уллак","Ullak","Ullak","Ullak","Ullak"
"564","Athzor","Athzor","Athzor","Athzor","Атзор","Athzor","Athzor","Athzor","Athzor"
"565","Dubor","Dubor","Dubor","Dubor","Дабор","Dubor","Dubor","Dubor","Dubor"
"566","Kazkri","Kazkri","Kazkri","Kazkri","Казкри","Kazkri","Kazkri","Kazkri","Kazkri"
"567","Zakantok","Zakantok","Zakantok","Zakantok","Заканток","Zakantok","Zakantok","Zakantok","Zakantok"
"568","Varagrin","Varagrin","Varagrin","Varagrin","Варагрин","Varagrin","Varagrin","Varagrin","Varagrin"
"569","Krarak","Krarak","Krarak","Krarak","Крарак","Krarak","Krarak","Krarak","Krarak"
"570","Damgar","Damgar","Damgar","Damgar","Дамгар","Damgar","Damgar","Damgar","Damgar"
"571","Alkrin","Alkrin","Alkrin","Alkrin","Алкрин","Alkrin","Alkrin","Alkrin","Alkrin"
"572","Unmir","Unmir","Unmir","Unmir","Анмир","Unmir","Unmir","Unmir","Unmir"
"573","Karund","Karund","Karund","Karund","Карунд","Karund","Karund","Karund","Karund"
"574","Dugg","Dugg","Dugg","Dugg","Дагг","Dugg","Dugg","Dugg","Dugg"
"575","Thuraz","Thuraz","Thuraz","Thuraz","Тураз","Thuraz","Thuraz","Thuraz","Thuraz"
"576","Skumaz","Skumaz","Skumaz","Skumaz","Скумаз","Skumaz","Skumaz","Skumaz","Skumaz"
"577","Skubkul","Skubkul","Skubkul","Skubkul","Скубкул","Skubkul","Skubkul","Skubkul","Skubkul"
"578","Kadkh","Kadkh","Kadkh","Kadkh","Кадх","Kadkh","Kadkh","Kadkh","Kadkh"
"579","Unsi","Unsi","Unsi","Unsi","Анзи","Unsi","Unsi","Unsi","Unsi"
"581","Kulin","Kulin","Kulin","Kulin","Калин","Kulin","Kulin","Kulin","Kulin"
"582","Grozor","Grozor","Grozor","Grozor","Грозор","Grozor","Grozor","Grozor","Grozor"
"583","Drongmir","Drongmir","Drongmir","Drongmir","Гронгмир","Drongmir","Drongmir","Drongmir","Drongmir"
"584","Drokgun","Drokgun","Drokgun","Drokgun","Дрокгун","Drokgun","Drokgun","Drokgun","Drokgun"
"585","Valir Kazig-Troll","Valir Kazig-Troll","Valir Kazig-Troll","Valir Kazig-Troll","Валир Казаг-Тролль","Valir Kazig-Troll","Valir Kazig-Troll","Valir Kazig-Troll","Valir Kazig-Troll"
"586","Drong Dok-Troll","Drong Dok-Troll","Drong Dok-Troll","Drong Dok-Troll","Дронг Док-Тролль","Drong Dok-Troll","Drong Dok-Troll","Drong Dok-Troll","Drong Dok-Troll"
"587","Hegagroth","Hegagroth","Hegagroth","Hegagroth","Гегагрот","Hegagroth","Hegagroth","Hegagroth","Hegagroth"
"588","Bugraz","Bugraz","Bugraz","Bugraz","Жукраз","Bugraz","Bugraz","Bugraz","Bugraz"
"589","Okakrin","Okakrin","Okakrin","Okakrin","Окакрин","Okakrin","Okakrin","Okakrin","Okakrin"
"590","Logazgni","Logazgni","Logazgni","Logazgni","Логазгни","Logazgni","Logazgni","Logazgni","Logazgni"
"591","Skalflin","Skalflin","Skalflin","Skalflin","Скалфлин","Skalflin","Skalflin","Skalflin","Skalflin"
"592","Kazhk","Kazhk","Kazhk","Kazhk","Казхк","Kazhk","Kazhk","Kazhk","Kazhk"
"593","Grimgund","Grimgund","Grimgund","Grimgund","Гримгунд","Grimgund","Grimgund","Grimgund","Grimgund"
"594","Runur","Runur","Runur","Runur","Рунур","Runur","Runur","Runur","Runur"
"595","Celuen","Celuen","Celuen","Celuen","Келуен","Celuen","Celuen","Celuen","Celuen"
"596","Cirirlan","Cirirlan","Cirirlan","Cirirlan","Кирирлан","Cirirlan","Cirirlan","Cirirlan","Cirirlan"
"597","Fin'win","Fin'win","Fin'win","Fin'win","Фин'вин","Fin'win","Fin'win","Fin'win","Fin'win"
"598","Nagawin","Nagawin","Nagawin","Nagawin","Нагавин","Nagawin","Nagawin","Nagawin","Nagawin"
"599","Endhuir","Endhuir","Endhuir","Endhuir","Эндуир","Endhuir","Endhuir","Endhuir","Endhuir"
"600","Sylvyth","Sylvyth","Sylvyth","Sylvyth","Сильвит","Sylvyth","Sylvyth","Sylvyth","Sylvyth"
"601","Fyien","Fyien","Fyien","Fyien","Фииен","Fyien","Fyien","Fyien","Fyien"
"602","Al'nwaen","Al'nwaen","Al'nwaen","Al'nwaen","Ал'нваен","Al'nwaen","Al'nwaen","Al'nwaen","Al'nwaen"
"603","Lothnor","Lothnor","Lothnor","Lothnor","Лотнор","Lothnor","Lothnor","Lothnor","Lothnor"
"604","Endlin","Endlin","Endlin","Endlin","Эндлин","Endlin","Endlin","Endlin","Endlin"
"605","Berethbane","Berethbane","Berethbane","Berethbane","Беретбейн","Berethbane","Berethbane","Berethbane","Berethbane"
"606","End Yenayla","End Yenayla","End Yenayla","End Yenayla","Энд Йенайла","End Yenayla","End Yenayla","End Yenayla","End Yenayla"
"609","Mahtarathel","Mahtarathel","Mahtarathel","Mahtarathel","Махтаратель","Mahtarathel","Mahtarathel","Mahtarathel","Mahtarathel"
"610","Naiethanel","Naiethanel","Naiethanel","Naiethanel","Найетанел","Naiethanel","Naiethanel","Naiethanel","Naiethanel"
"611","End Talu","End Talu","End Talu","End Talu","Энд Талу","End Talu","End Talu","End Talu","End Talu"
"612","Lor Sehenlu","Lor Sehenlu","Lor Sehenlu","Lor Sehenlu","Лор Сеенлу","Lor Sehenlu","Lor Sehenlu","Lor Sehenlu","Lor Sehenlu"
"613","Rhydyhu","Rhydyhu","Rhydyhu","Rhydyhu","Ридиху","Rhydyhu","Rhydyhu","Rhydyhu","Rhydyhu"
"614","Felien","Felien","Felien","Felien","Фелиэн","Felien","Felien","Felien","Felien"
"615","Ballbane","Ballbane","Ballbane","Ballbane","Бальбейн","Ballbane","Ballbane","Ballbane","Ballbane"
"616","Telrond","Telrond","Telrond","Telrond","Тельронд","Telrond","Telrond","Telrond","Telrond"
"617","Brim Auryaur","Brim Auryaur","Brim Auryaur","Brim Auryaur","Брим Ауриор","Brim Auryaur","Brim Auryaur","Brim Auryaur","Brim Auryaur"
"618","Torirlan","Torirlan","Torirlan","Torirlan","Торирлан","Torirlan","Torirlan","Torirlan","Torirlan"
"619","Glorellion","Glorellion","Glorellion","Glorellion","Глорэллион","Glorellion","Glorellion","Glorellion","Glorellion"
"620","Berethellion","Berethellion","Berethellion","Berethellion","Беретэллион","Berethellion","Berethellion","Berethellion","Berethellion"
"621","Darost","Darost","Darost","Darost","Дарост","Darost","Darost","Darost","Darost"
"622","Berethnwaen","Berethnwaen","Berethnwaen","Berethnwaen","Беретнваен","Berethnwaen","Berethnwaen","Berethnwaen","Berethnwaen"
"623","Dilmar","Dilmar","Dilmar","Dilmar","Дилмар","Dilmar","Dilmar","Dilmar","Dilmar"
"624","Tellin","Tellin","Tellin","Tellin","Теллин","Tellin","Tellin","Tellin","Tellin"
"625","Nim Sethayla","Nim Sethayla","Nim Sethayla","Nim Sethayla","Ним Сетайла","Nim Sethayla","Nim Sethayla","Nim Sethayla","Nim Sethayla"
"626","Ellin","Ellin","Ellin","Ellin","Эллин","Ellin","Ellin","Ellin","Ellin"
"627","Mitiaeost","Mitiaeost","Mitiaeost","Mitiaeost","Митиэост","Mitiaeost","Mitiaeost","Mitiaeost","Mitiaeost"
"628","Malueear","Malueear","Malueear","Malueear","Малуэир","Malueear","Malueear","Malueear","Malueear"
"629","Ethilanur","Ethilanur","Ethilanur","Ethilanur","Этиланур","Ethilanur","Ethilanur","Ethilanur","Ethilanur"
"630","Endandril","Endandril","Endandril","Endandril","Эндандриль","Endandril","Endandril","Endandril","Endandril"
"631","Lithandril","Lithandril","Lithandril","Lithandril","Литандриль","Lithandril","Lithandril","Lithandril","Lithandril"
"632","Felanwe","Felanwe","Felanwe","Felanwe","Фельанве","Felanwe","Felanwe","Felanwe","Felanwe"
"633","Athanfel","Athanfel","Athanfel","Athanfel","Атанфель","Athanfel","Athanfel","Athanfel","Athanfel"
"634","Jacob von Altdorf","Jacob von Altdorf","Jacob von Altdorf","Jacob von Altdorf","Якоб фон Альтдорф","Jacob von Altdorf","Jacob von Altdorf","Jacob von Altdorf","Jacob von Altdorf"
"635","Fat Mittbrot","Fat Mittbrot","Fat Mittbrot","Fat Mittbrot","Жирняй Миттброт","Fat Mittbrot","Fat Mittbrot","Fat Mittbrot","Fat Mittbrot"
"636","'Fast' Ben Jansen","'Fast' Ben Jansen","'Fast' Ben Jansen","Ben 'Flitzer' Jansen","'Торопыга' Бен Янсен","'Fast' Ben Jansen","'Fast' Ben Jansen","'Fast' Ben Jansen","'Fast' Ben Jansen"
"637","'Surehanded' Gregor Meissen","'Surehanded' Gregor Meissen","'Surehanded' Gregor Meissen","Gregor 'Schnellhand' Meißen","'Верная Рука' Грегор Мейзен","'Surehanded' Gregor Meissen","'Surehanded' Gregor Meissen","'Surehanded' Gregor Meissen","'Surehanded' Gregor Meissen"
"638","Pieter von Gullet","Pieter von Gullet","Pieter von Gullet","Pieter von Gullet","Питер фон Гуллет","Pieter von Gullet","Pieter von Gullet","Pieter von Gullet","Pieter von Gullet"
"639","Helmut Rokstein","Helmut Rokstein","Helmut Rokstein","Helmut Rockstein","Гельмут Рокштейн","Helmut Rokstein","Helmut Rokstein","Helmut Rokstein","Helmut Rokstein"
"640","Ritter von Baum","Ritter von Baum","Ritter von Baum","Ritter von Baum","Риттер фон Баум","Ritter von Baum","Ritter von Baum","Ritter von Baum","Ritter von Baum"
"641","Hans von Broken","Hans von Broken","Hans von Broken","Hans von Broken","Ганс фон Падший","Hans von Broken","Hans von Broken","Hans von Broken","Hans von Broken"
"642","Ziggi Abschuss","Ziggi Abschuss","Ziggi Abschuss","Ziggi Abschuss","Зигги Абшусс","Ziggi Abschuss","Ziggi Abschuss","Ziggi Abschuss","Ziggi Abschuss"
"643","Gerhard Linebreaker","Gerhard Linebreaker","Gerhard Linebreaker","Glühwich Durchbrich","Герхарт Нарушитель","Gerhard Linebreaker","Gerhard Linebreaker","Gerhard Linebreaker","Gerhard Linebreaker"
"644","Luigi di Passella","Luigi di Passella","Luigi di Passella","Luigi di Passella","Луиджи ди Пассела","Luigi di Passella","Luigi di Passella","Luigi di Passella","Luigi di Passella"
"645","Ivan Kellhoofer","Ivan Kellhoofer","Ivan Kellhoofer","Iwan Kellhofer","Иван Копытофф","Ivan Kellhoofer","Ivan Kellhoofer","Ivan Kellhoofer","Ivan Kellhoofer"
"647","Zugg","Zugg","Zugg","Zugg","Зугг","Zugg","Zugg","Zugg","Zugg"
"648","Maxmillian Hamlyn","Maxmillian Hamlyn","Maxmillian Hamlyn","Maximillian Hamlyn","Максимилиан Хамлин","Maxmillian Hamlyn","Maxmillian Hamlyn","Maxmillian Hamlyn","Maxmillian Hamlyn"
"649","Olbrecht Valdric","Olbrecht Valdric","Olbrecht Valdric","Olbrecht Valdric","Ольбрехт Валдрик","Olbrecht Valdric","Olbrecht Valdric","Olbrecht Valdric","Olbrecht Valdric"
"650","Dietmar Filibert","Dietmar Filibert","Dietmar Filibert","Dietmar Filibert","Дитмар Филиберт","Dietmar Filibert","Dietmar Filibert","Dietmar Filibert","Dietmar Filibert"
"651","Gunther Luitpold","Gunther Luitpold","Gunther Luitpold","Gunther Luitpold","Гюнтер Луитпольд","Gunther Luitpold","Gunther Luitpold","Gunther Luitpold","Gunther Luitpold"
"652","Yarko Belly-Opener","Yarko l'Ouvreur","Yarko Apripance","Yarko Bauchweider","Йарко Живодер","Yarko Abrebarrigas","Yarko Párač","Hasfelmetsző Yarko","Yarko Brzuchotnij"
"653","Mordred Wilfried","Mordred Wilfried","Mordred Wilfried","Mordred Wilfried","Мордред Вильфред","Mordred Wilfried","Mordred Wilfried","Mordred Wilfried","Mordred Wilfried"
"654","Gerber Rainer","Gerber Rainer","Gerber Rainer","Gerber Rainer","Гербер Райнер","Gerber Rainer","Gerber Rainer","Gerber Rainer","Gerber Rainer"
"655","Hans Filibert","Hans Filibert","Hans Filibert","Hans Filibert","Ганс Филиберт","Hans Filibert","Hans Filibert","Hans Filibert","Hans Filibert"
"656","Eber Alban","Eber Alban","Eber Alban","Eber Alban","Эбер Альбан","Eber Alban","Eber Alban","Eber Alban","Eber Alban"
"657","Boris the Slow","Boris le Lent","Boris il lento","Boris der Langsame","Борис Тихоход","Boris el Lento","Boris Pomalý","Boris, a lassú","Boris the Slow"
"658","Shari the Reveller","Shari le Fêtard","Shari il festaiolo","Shari der Zecher","Шэри Кутила","Shari el Juerguista","Shari Hýřil","Shari, a tivornyás","Shari Hulaka"
"659","Hector the Trickster","Hector le Farceur","Hector l'imbroglione","Hektor der Gauner","Гектор Ловкач","Héctor el Embaucador","Hector Podšitý","Hector, a trükkös","Hector Mistyfikator"
"660","Jorn the Slow","Jorn le Lent","Jorn il lento","Jorn der Langsame","Йорн Тихоход","Jorn el Lento","Jorn Pomalý","Jorn, a lassú","Jorn the Slow"
"661","Hob the Valiant","Hob le Vaillant","Hob il valoroso","Hob der Tapfere","Хоб Храбрец","Hob el Valiente","Hob Statečný","Hob, a délceg","Hob the Valiant"
"662","Gunther Panzermann","Gunther Panzermann","Gunther Panzermann","Gunther Panzermann","Гюнтер Панцерман","Gunther Panzermann","Gunther Panzermann","Gunther Panzermann","Gunther Panzermann"
"663","Stefan Smutzer","Stefan Smutzer","Stefan Smutzer","Stefan Smutzer","Стефан Шмуцер","Stefan Smutzer","Stefan Smutzer","Stefan Smutzer","Stefan Smutzer"
"664","Detlef Hoffenmiester","Detlef Hoffenmiester","Detlef Hoffenmiester","Detlef Hoffenmeister","Детлеф Хоффенмейстер","Detlef Hoffenmiester","Detlef Hoffenmiester","Detlef Hoffenmiester","Detlef Hoffenmiester"
"665","Hugo Fentleberry","Hugo Fentleberry","Hugo Fentleberry","Hugo Fentelbeere","Хьюго Фентлберри","Hugo Fentleberry","Hugo Fentleberry","Hugo Fentleberry","Hugo Fentleberry"
"666","Vulgott Face-Pounder","Vulgott le Pulvérisateur","Vulgott Maciullafacce","Vulgott Augenstecher","Валготт Мордобой","Vulgott Machacacaras","Vulgott Hlavosek","PofánverÅ Vulgott","Vulgott SzczÃâ¢koÃ
âam"
"667","Perceval Geert","Perceval Geert","Perceval Geert","Parzival Geert","Персиваль Геерт","Perceval Geert","Perceval Geert","Perceval Geert","Perceval Geert"
"668","Tristan Seppel","Tristan Seppel","Tristan Seppel","Tristan Seppel","Тристан Сеппель","Tristan Seppel","Tristan Seppel","Tristan Seppel","Tristan Seppel"
"669","Detlef Seppel","Detlef Seppel","Detlef Seppel","Detlef Seppel","Детлеф Сеппель","Detlef Seppel","Detlef Seppel","Detlef Seppel","Detlef Seppel"
"670","Eomund Kayetan","Eomund Kayetan","Eomund Kayetan","Eomund Kayetan","Эомунд Каетан","Eomund Kayetan","Eomund Kayetan","Eomund Kayetan","Eomund Kayetan"
"671","Karl the Eater","Karl le Mangeur","Karl il mangiatore","Karl der Verfressene","Карл Едок","Karl el Devorador","Karl Požírač","Karl, a zabagép","Karl the Eater"
"672","Reyan the Small","Reyan le Petit","Reyan il piccolo","Reyan der Kleine","Рейан Малыш","Reyan el Pequeño","Reyan Malý","Reyan, az apró","Reyan MaÃ
ây"
"673","Jek the Boss-eyed","Jek le Louche","Jek l'occhioacuto","Jek der Schieler","Джек Косой","Jek el Bizco","Jek Šilhavý","Jek, a bandzsa","Jek Zezowaty"
"674","Ewan the Fast","Ewan le Rapide","Ewan il veloce","Ewan der Schnelle","Эван Быстрый","Ewan el Rápido","Ewan Rychlý","Ewan, a sebes","Ewan Szybki"
"675","Morgur Smash'legz","Morgur Arrache'Patte","Morgur Spezz'Gambe","Morgur Schlag'Beinä","Моргур Круши'ноги","Morgur Aplazta'piernaz","Morgur Nohosek","Morgur Smash'legz","Morgur Smash'legz"
"676","Badruk Eat'Ribz","Badruk Bouffe'Nez","Badruk Divor'Costole","Badruk Fress'Rippän","Бадрак Жри'Ребра","Badruk Traga'Koztillaz","Badruk Žebrožrout","Badruk Eat'Ribz","Badruk Eat'Ribz"
"677","Nobbug-Gabtrak","Nobbug-Gabtrak","Nobbug-Gabtrak","Nobbug-Gabtrak","Нобжук-Габтрак","Nobbug-Gabtrak","Nobbug-Gabtrak","Nobbug-Gabtrak","Nobbug-Gabtrak"
"678","Zogga-Wortsnag","Zogga-Wortsnag","Zogga-Wortsnag","Zogga-Wortsnag","Зогга-Вортснаг","Zogga-Wortsnag","Zogga-Wortsnag","Zogga-Wortsnag","Zogga-Wortsnag"
"679","Marruk","Marruk","Marruk","Marruk","Маррук","Marruk","Marruk","Marruk","Marruk"
"680","Borga Rip'armz","Borga Rip'armz","Borga Rip'armz","Borga Reiß'Arme","Борга Рви'руки","Borga Rip'armz","Borga Rip'armz","Borga Rip'armz","Borga Rip'armz"
"681","Stitak","Stitak","Stitak","Stitak","Ститак","Stitak","Stitak","Stitak","Stitak"
"682","Weezw","Weezw","Weezw","Weezw","Виизв","Weezw","Weezw","Weezw","Weezw"
"683","Mozu'k","Mozu'k","Mozu'k","Mozu'k","Мозу'К","Mozu'k","Mozu'k","Mozu'k","Mozu'k"
"684","Tuskarg","Tuskarg","Tuskarg","Tuskarg","Клыкарг","Tuskarg","Tuskarg","Tuskarg","Tuskarg"
"685","Mugoz","Mugoz","Mugoz","Mugoz","Мугоз","Mugoz","Mugoz","Mugoz","Mugoz"
"686","Morkk","Morkk","Morkk","Morkk","Моркк","Morkk","Morkk","Morkk","Morkk"
"687","Skarz Ear'eater","Skarz Ear'eater","Skarz Ear'eater","Skarz Ohr'Fresser","Шрамм Ухоед","Skarz Ear'eater","Skarz Ear'eater","Skarz Ear'eater","Skarz Ear'eater"
"688","Gobzag","Gobzag","Gobzag","Gobzag","Гобзаг","Gobzag","Gobzag","Gobzag","Gobzag"
"689","Kurtrak","Kurtrak","Kurtrak","Kurtrak","Куртрак","Kurtrak","Kurtrak","Kurtrak","Kurtrak"
"690","Takrad","Takrad","Takrad","Takrad","Такхрад","Takrad","Takrad","Takrad","Takrad"
"691","Azhag Eat'Ch'ya","Azhag Mange'Cailloux","Azhag Divor'Te","Azhag Fress'Dich","Азаг Жри'Тя","Azhag Traga'Ch'ya","Azhag Kanibal","Azhag Eat'Ch'ya","Azhag Eat'Ch'ya"
"692","Akzar Eat'Liver","Akzar Bouffe'Pleutre","Akzar Divor'Fegato","Akzar Fress'Leber","Азар Жри'печень","Akzar Traga'Hígado","Akzar Játrožrout","Akzar Eat'Liver","Akzar Eat'Liver"
"693","Morglum Gouge'Eyez","Morglum Crève'Yeux","Morglum Ztrappa'Okki","Morglum Stech'Augs","Морглум Вырви'глаз","Morglum Zaka'Ojoz","Morglum Očiškráb","Morglum Gouge'Eyez","Morglum RozÃ
âupywacz'Oczuf"
"694","Zargt'k","Zargt'k","Zargt'k","Zargt'k","Заргт'К","Zargt'k","Zargt'k","Zargt'k","Zargt'k"
"695","Magurik-Thrasha","Magurik-Thrasha","Magurik-Thrasha","Magurik-Drescha","Магурик-Траша","Magurik-Azotador","Magurik-Thrasha","Magurik-Thrasha","Magurik-Thrasha"
"696","Makuri-Gutnail","Makuri-Gutnail","Makuri-Gutnail","Makuri-Bauchnagel","Макури-Брюхкол","Makuri-Tripauña","Makuri-Gutnail","Makuri-Gutnail","Makuri-Gutnail"
"697","Zodrog-ripsnort","Zodrog-ripsnort","Zodrog-ripsnort","Zodrog-schlitzschnauze","Зодрог-хрипун","Zodrog-rajagruñido","Zodrog-ripsnort","Zodrog-ripsnort","Zodrog-ripsnort"
"698","Zaru-snoter","Zaru-snoter","Zaru-snoter","Zaru-schnodder","Зару-сопляк","Zaru-snoter","Zaru-snoter","Zaru-snoter","Zaru-snoter"
"699","Gorkruk Smash'Legs","Gorkruk Smash'Legs","Gorkruk Smash'Legs","Gorkruk Brech'beine","Горкрук Круши'ноги","Gorkruk Smash'Legs","Gorkruk Smash'Legs","Gorkruk Smash'Legs","Gorkruk Smash'Legs"
"700","Moggar","Moggar","Moggar","Moggar","Моггар","Moggar","Moggar","Moggar","Moggar"
"701","Gramrad","Gramrad","Gramrad","Gramrad","Грамрад","Gramrad","Gramrad","Gramrad","Gramrad"
"702","Varag Tear'Heart","Varag Gob'Tout","Varag Ztrappa'Cuore","Varag Reiß'Herz","Вараг Рви'сердце","Varag Razga'Korazón","Varag Srdcotrh","Varag Tear'Heart","Varag Wyrywacz'Sercuf"
"703","Grubnash Tear'Fingz","Grubnash Casse'Doigts","Grubnash Spezz'Dita","Grubnash Reiß'Finga","Грубнаш Рви'все","Grubnash Razga'Kozaz","Grubnash Trhač","Grubnash Tear'Fingz","Grubnash Wyrywacz'Palcuf"
"704","Morglum Gouge'Teef","Morglum Arrache'Dents","Morglum Ztrappa'Denti","Morglum Stech'Zähn","Морглом Дави'Зуп","Morglum Zaka'Piñoz","Morglum Zubosek","Morglum Gouge'Teef","Morglum RozÃ
âupywacz'ZÃâ¢buf"
"705","Gabber Gouge'Arm","Gabber Arrache'bras","Gabber Ztrappa'Braccia","Gabber Stech'Arm","Габбер Вырви'Рук","Gabber Zaka'Brazo","Gabber Rukotrh","Gabber Gouge'Arm","Gabber RozÃ
âupywacz'RÃâ¢kuf"
"706","Mok'k","Mok'k","Mok'k","Mok'k","Мок'К","Mok'k","Mok'k","Mok'k","Mok'k"
"707","Grogga-Dronggluk","Grogga-Dronggluk","Grogga-Dronggluk","Grogga-Dronggluk","Грогга-Дронгглук","Grogga-Dronggluk","Grogga-Dronggluk","Grogga-Dronggluk","Grogga-Dronggluk"
"708","Snagga-Badnee","Snagga-Badnee","Snagga-Badnee","Snagga-Badnee","Снагга-Баднет","Snagga-Badnee","Snagga-Badnee","Snagga-Badnee","Snagga-Badnee"
"709","Grinface-dumpa","Grinface-dumpa","Grinface-dumpa","Grinface-dumpfa","Ухмыль-капут","Grinface-dumpa","Grinface-dumpa","Grinface-dumpa","Grinface-dumpa"
"710","Azhag-Ballstompa","Azhag-Ballstompa","Azhag-rimbalzoso","Azhag-Ballstampfa","Азаг-Пошарам","Azhag-Pizabalonez","Azhag-Ballstompa","Azhag-Ballstompa","Azhag-Ballstompa"
"711","Azhag","Azhag","Azhag","Azhag","Азаг","Azhag","Azhag","Azhag","Azhag"
"712","Grubguzzla","Grubguzzla","Grubguzzla","Grubguzzla","Грубгуззла","Grubguzzla","Grubguzzla","Grubguzzla","Grubguzzla"
"713","Snarlscalp","Snarlscalp","Snarlscalp","Snarlscalp","Сорвискальп","Snarlscalp","Snarlscalp","Snarlscalp","Snarlscalp"
"714","Gorhar","Gorhar","Gorhar","Gorhar","Горхар","Gorhar","Gorhar","Gorhar","Gorhar"
"715","Lhyit","Lhyit","Lhyit","Lhyit","Лхиит","Lhyit","Lhyit","Lhyit","Lhyit"
"716","Deeik","Deeik","Deeik","Deeik","Диик","Deeik","Deeik","Deeik","Deeik"
"717","Kweyj","Kweyj","Kweyj","Kweyj","Квеуй","Kweyj","Kweyj","Kweyj","Kweyj"
"718","Kwetzh","Kwetzh","Kwetzh","Kwetzh","Кветж","Kwetzh","Kwetzh","Kwetzh","Kwetzh"
"719","Nizkch","Nizkch","Nizkch","Nizkch","Низкч","Nizkch","Nizkch","Nizkch","Nizkch"
"720","Tsalk","Tsalk","Tsalk","Tsalk","Тсалк","Tsalk","Tsalk","Tsalk","Tsalk"
"721","Kweych","Kweych","Kweych","Kweych","Квеич","Kweych","Kweych","Kweych","Kweych"
"722","Deeych","Deeych","Deeych","Deeych","Диич","Deeych","Deeych","Deeych","Deeych"
"723","Gnawer","Gnawer","Gnawer","Kauer","Глодатель","Gnawer","Gnawer","Gnawer","Gnawer"
"724","Thanik","Thanik","Thanik","Thanik","Таник","Thanik","Thanik","Thanik","Thanik"
"725","Nurgych","Nurgych","Nurgych","Nurgych","Нургич","Nurgych","Nurgych","Nurgych","Nurgych"
"726","Snikit","Snikit","Snikit","Snikit","Сникит","Snikit","Snikit","Snikit","Snikit"
"727","Snitch","Snitch","Snitch","Snitch","Несун","Snitch","Snitch","Snitch","Snitch"
"728","Lhytk","Lhytk","Lhytk","Lhytk","Лхитк","Lhytk","Lhytk","Lhytk","Lhytk"
"729","Quyii","Quyii","Quyii","Quyii","Куйии","Quyii","Quyii","Quyii","Quyii"
"730","Liklut","Liklut","Liklut","Liklut","Ликлут","Liklut","Liklut","Liklut","Liklut"
"731","Kreelut","Kreelut","Kreelut","Kreelut","Креелут","Kreelut","Kreelut","Kreelut","Kreelut"
"732","Weelut","Weelut","Weelut","Weelut","Виилут","Weelut","Weelut","Weelut","Weelut"
"733","Krittk","Krittk","Krittk","Krittk","Криттк","Krittk","Krittk","Krittk","Krittk"
"734","Krilitch","Krilitch","Krilitch","Krilitch","Крилич","Krilitch","Krilitch","Krilitch","Krilitch"
"735","Monstinrot","Monstinrot","Monstinrot","Monstinrot","Монстринрот","Monstinrot","Monstinrot","Monstinrot","Monstinrot"
"736","Cryik","Cryik","Cryik","Cryik","Ревик","Cryik","Cryik","Cryik","Cryik"
"737","Likyj","Likyj","Likyj","Likyj","Ликуй","Likyj","Likyj","Likyj","Likyj"
"738","Wytuk","Wytuk","Wytuk","Wytuk","Витук","Wytuk","Wytuk","Wytuk","Wytuk"
"739","Tsayk","Tsayk","Tsayk","Tsayk","Тсаик","Tsayk","Tsayk","Tsayk","Tsayk"
"740","Kritei","Kritei","Kritei","Kritei","Критей","Kritei","Kritei","Kritei","Kritei"
"741","Whucut","Whucut","Whucut","Whucut","Вуреж","Whucut","Whucut","Whucut","Whucut"
"742","Theuk","Theuk","Theuk","Theuk","Теук","Theuk","Theuk","Theuk","Theuk"
"743","Kwelutch","Kwelutch","Kwelutch","Kwelutch","Квелуч","Kwelutch","Kwelutch","Kwelutch","Kwelutch"
"744","Minij","Minij","Minij","Minij","Миний","Minij","Minij","Minij","Minij"
"745","Whuyz","Whuyz","Whuyz","Whuyz","Вуиз","Whuyz","Whuyz","Whuyz","Whuyz"
"746","Tsayk","Tsayk","Tsayk","Tsayk","Тсаик","Tsayk","Tsayk","Tsayk","Tsayk"
"747","Crytzh","Crytzh","Crytzh","Crytzh","Ревтч","Crytzh","Crytzh","Crytzh","Crytzh"
"748","Cryutch","Cryutch","Cryutch","Cryutch","Криуч","Cryutch","Cryutch","Cryutch","Cryutch"
"749","Gnawjaw","Gnawjaw","Gnawjaw","Gnawjaw","Обглодень","Gnawjaw","Gnawjaw","Gnawjaw","Gnawjaw"
